1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
construire plus de logements,améliorer la mixité sociale,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;Je souhaite habiter dans la MEL car c'est une ville dynamique où on s'y sens bien.;Oui;Non;Non;Non;;;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;;Oui;Oui;Non;Oui;autre;Non;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;emploi non salarié;Lille;individuel;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;ne se prononce pas;ne se prononce pas;des difficultés de financement;Dynamisme;Oui;Oui;Non;Non;autre;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un recueil numérique de bonnes pratiques,témoignages d'habitants,des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;individuel;propriétaire occupant;autre
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;;Oui;Oui;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,autre;35-49 ans;emploi salarié;wattignies;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des logements de trop faible qualité;des biens vétustes nécessitant trop de travaux;des difficultés de financement;Parce qu'elle concentre une partie croissante des activités économiques de la Région (ce qui n'est pas forcément une bonne chose);Non;Oui;Non;Non;;;;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un préfinancement des travaux;25-35 ans;emploi salarié;Faches Thumesnil;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement,mieux organiser l'accueil des étudiants dans la MEL,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;;Non;Oui;Non;Non;;Non;;Non;;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;wambrechies;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,améliorer la mixité sociale,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;Parce qu'on y a grandi, parce que les habitants sont accueillants;Oui;Oui;Oui;Oui;conseillers travaillant pour la MEL chargés d'accompagner les habitants dans leur projet de rénovation;Non;la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;La Madeleine;individuel;propriétaire occupant;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver de l'aide,un conseil adapté;"Parce qu'il s'agit de notre région d'origine.
On y a ses attaches, son emploi.
Parce qu'elle propose d'énormes infrastructures sportives, culturelles, transports en commun...";Oui;Non;Non;Non;;Non;votre mairie,autre;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;CROIX;collectif;propriétaire occupant;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,adapter les logements au vieillissement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;Pour des raisons professionnelles;Non;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;50-64 ans;retraité;tourcoing;collectif;locataire d'un logement social;je vis en couple sans enfant
construire plus de logements,améliorer la mixité sociale,faciliter l'accès des jeunes au logement;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;ne se prononce pas;Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Oui;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;18-24 ans;étudiant;tourcoing;collectif;locataire d'un logement privé;je vis seul avec enfant(s)
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;;Oui;Non;Non;Non;bouche à oreille;Non;"le groupe ""Action logement"",la MEL";Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants;35-49 ans;emploi salarié;Ostricoutrt;collectif;locataire d'un logement social;je vis seul avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,résorber les bidonvilles;des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;Très beaux appartements;Oui;Non;Non;Non;;Non;la MEL;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants;50-64 ans;emploi salarié;tourcoing;collectif;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement;Carrefour européen;Oui;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lille;individuel;locataire d'un logement privé;je vis seul sans enfant
